description,pallets,weight,cube
DRY GROCERY,1,1770,57.7
DRY GROCERY,1,266,30
PROMO ITEM,1,954,16.7
promo items,1,954,43.3
Frozen Product,3,4340.8,162.2
Frozen Product,2,3400,147.7
DRY CARGO,1,683,53.3
REFRIGERATED,11,12018,662.2
GENERAL CARGO,1,288,14.4
GENERAL CARGO,1,120,27.7
GENERAL CARGO,3,1566,150
GENERAL CARGO,1,244,30
DRY GROCERY,1,1355,55.5
DRY GROCERY,8,5786,357.7
DRY GROCERY,3,5208,174.4
DRY GROCERY,6,3597,420
GENERAL CARGO,14,4464,513.3
Frozen Product,6,5127,443.3
DRY GROCERY,14,10321,691.1
DRY GROCERY,1,1260,61.1
REFRIGERATED,2,3360,175.5
REFRIGERATED Product,10,9510,324.4
REFRIGERATED,10,19645,560
GROCERY ITEMS,2,1215,111.1
DRY GROCERY,3,6600,160
REFRIGERATED,1,489,47.7
REFRIGERATED,1,1911,51.1
DRY CARGO,1,534,37.7
GENERAL CARGO,1,178,33.3
REFRIGERATED Product,5,9541,331.1
REFRIGERATED,1,1761,60
GROCERY ITEMS,6,1818,324.4
REFRIGERATED Product,18,22935.7,1120
DRY GROCERY,12,8605,420
GROCERY ITEMS,2,2003,73.3
REFRIGERATED,1,200,20
DRY GROCERY,2,541,164.4
FROZEN MEAT,3,2990.9,163.3
REFRIGERATED Product,19,20622,1345.5
DRY GROCERY,22,38784,1615.5
REFRIGERATED GROCERY,1,774.2,87.7
DRY CARGO,8,5456,378.8
GENERAL CARGO,7,4728,404.4
GENERAL CARGO,1,204,34.1
FROZEN WAKAME,1,1729,84.4
GROCERY ITEMS,1,377,44.4
REFRIGERATED,25,22600,1500
DRY PRODUCTS,2,1748.4,60
GENERAL CARGO,1,445,35.5
GENERAL CARGO,2,1490,72.2
GENERAL CARGO,3,1227,126.6
GENERAL CARGO,2,953,81.1
GENERAL CARGO,4,1167,222.2
GENERAL CARGO,4,1365,147.7
GENERAL CARGO,2,801,38.8
GENERAL CARGO,5,1375,237.7
GENERAL CARGO,5,993,306.6
GENERAL CARGO,1,1340,70
GENERAL CARGO,5,2140,173.3
GENERAL CARGO,3,607,134.4
GENERAL CARGO,8,186,382.2
GENERAL CARGO,7,1833,297.7
GENERAL CARGO,4,1084,188.8
GROCERY ITEMS,2,3303,107.8
REFRIGERATED Product,1,2126,52.2
REFRIGERATED Product,1,1220,55.5
GROCERY ITEMS,2,775,68.8
GENERAL CARGO,2,456,88.8
GENERAL CARGO,1,928,68.8
GROCERY ITEMS,3,5092,161.1
REFRIGERATED,1,335,33.3
REFRIGERATED,1,235,28.8
FROZEN PRODUCTS,3,4434.7,165.5
GENERAL CARGO,4,1237,187.7
glass,1,121,23.3
DRY GROCERY,3,3700,197.7
GENERAL CARGO,1,488,66.6
REFRIGERATED,6,2748.7,194.4
REFRIGERATED,1,1344,77.7
REFRIGERATED,1,2037,60
REFRIGERATED,17,21719.76,1025.5
REFRIGERATED,1,579,42.2
DRY GROCERY,8,14502,495.5
REFRIGERATED Cargo,1,1257,57.7
DRY GROCERY,7,6846,486.6
FROZEN PRODUCTS,1,222,38.8
DRY CARGO,3,2374,195.1
DRY PRODUCTS,22,36670,1002.2
DRY CARGO,29,5870,1497.7
REFRIGERATED,1,588,28.8
REFRIGERATED,1,493,18.8
REFRIGERATED,1,156,13.3
DRY CARGO,6,5000,267.7
REFRIGERATED,1,462,24.4
REFRIGERATED,7,5150,241.1
REFRIGERATED,3,6000,166.6
DRY CARGO,3,2427,146.6
REFRIGERATED,6,9123,257.7
REFRIGERATED,25,18846,1120
DRY CARGO,4,3155,205.5
DRY CARGO,2,4052,97.7
DRY CARGO,5,3622,377.7
PARTY SUPPLIES,1,110,25.5
FROZEN PRODUCTS,4,3361,415.3
wool felt,1,546,66.5
GENERAL CARGO,10,5665,842.2
frozen tuna,2,2662,116.6
REFRIGERATED,2,2826.9,103.3
DRY CARGO,1,613,57.7
GROCERY ITEMS,11,4880.7,591.1
GENERAL CARGO,12,8283,1007.7
REFRIGERATED Product,4,4505.5,215.5
REFRIGERATED,13,12987,823.3
GROCERY ITEMS,5,4067,281.1
REFRIGERATED,12,23409.6,727.7
DRY GROCERY,21,5334,955.5
GENERAL CARGO,5,3041,423.3
smoke articles,1,72,33.3
DRY CARGO,1,69,30
GENERAL CARGO,1,557,57.7
DRY GROCERY,21,40163,1330
REFRIGERATED Product,9,8917.7,111.1
REFRIGERATED,1,1068,75.5
GENERAL CARGO,1,158,36.5
GROCERY ITEMS,2,1001,88.8
DRY GROCERY,18,10761,914.4
REFRIGERATED Product,1,1773,58.8
DRY CARGO,3,5428,144.4
GROCERY ITEMS,17,5194.8,674.4
REFRIGERATED,2,2061,74.4
REFRIGERATED,12,8151,805.5
smoke items,1,254,41.1
GROCERY ITEMS,22,39017,1626.6
REFRIGERATED Product,1,701,51.1
REFRIGERATED,18,22189.9,1013.3
DRY PRODUCTS,2,2130,97.7
frozen pasta,1,975,48.8
FROZEN GOODS,7,14000,466
GROCERY ITEMS,4,8800,213.3
GENERAL CARGO,28,15101.2,2373.3
DRY GROCERY,32,41779,1280
GROCERY ITEMS,2,1310,122.2
GROCERY ITEMS,1,1965,48.8
GROCERY ITEMS,10,23566,726.6
REFRIGERATED,2,2682,96.6
DRY GROCERY,1,1560,66.6
FROZEN PRODUCTS,4,5296,213.3
GROCERY ITEMS,1,172,30
GENERAL CARGO,1,63,17.7
GROCERY ITEMS,3,315,70
GROCERY ITEMS,1,1524,66.6
FROZEN PRODUCTS,8,10400,584.4
REFRIGERATED,19,19111,1259
GENERAL CARGO,1,83,20.6
GENERAL CARGO,3,1493,113.3
GENERAL CARGO,1,1189,71.1
DRY PRODUCTS,19,16383,918.8
GENERAL CARGO,1,99,33.3
DRY CARGO,13,7195.2,738.8
REFRIGERATED,1,156,23.3
GENERAL CARGO,1,85,22.9
DRY PRODUCTS,28,5093,2642.2
FROZEN,4,1592,178.8
REFRIGERATED,1,75,26.6
GROCERY ITEMS,31,12110,1341.1
GENERAL CARGO,45,13674.7,1562.2
Refrigerted Products,6,7993,245.5
REFRIGERATED,10,6997,517.7
REFRIGERATED,5,4953,226.6
GENERAL CARGO,1,46,7.7
DRY PRODUCTS,1,1790,48.8
GENERAL CARGO,1,915,62.2
GENERAL CARGO,8,5146,749.5
FROZEN PRODUCTS,3,1381,105.5
Frozen Cornsh,1,982.54,35.5
frozen beef,1,534.8,26.6
REFRIGERATED,1,1260,73.3
REFRIGERATED Product,18,20504.4,1238.8
GROCERY ITEMS,6,1907,320
GENERAL CARGO,33,16915,1472.2
DRY CARGO,1,376,44.4
FROZEN PRODUCTS,12,20022.3,726.6
GENERAL CARGO,1,41,22.3
REFRIGERATED,2,4153,51.1
DRY PRODUCTS,25,6936,15119.4
REFRIGERATED,3,3450,213.3
GENERAL CARGO,1,275,31.1
REFRIGERATED,17,22213,980
GROCERY ITEMS,1,1575,70
Dry Producs,6,8635,278.8
GENERAL CARGO,7,20962,217.6
DRY PRODUCTS,1,493,23.3
GROCERY ITEMS,1,153,13.3
REFRIGERATED,4,2604,291.1
DRY PRODUCTS,1,172,13.3
DRY PRODUCTS,1,548.1,27.7
DRY PRODUCTS,1,360,25.5
DRY,1,77,24.1
REFRIGERATED Product,40,34126,1913
DRY PRODUCTS,1,1304.8,36.6
GROCERY STORE MERCHANIDSE,32,24570,1481.1
GROCERY ITEMS,5,5981,208.8
GROCERY ITEMS,6,6372,206.6
GROCERY ITEMS,3,5800,155.5
GENERAL CARGO,1,33,13.3
Medical Equipment,1,227,43.3
DRY PRODUCTS,32,43186.6,1281.1
Lady Lock Form,1,71,13.3
DRY GOODS,2,3490,117.7
DRY PRODUCTS,1,1076,37.7
DRY CARGO,1,68,33.3
GENERAL CARGO,8,14228,584.4
REFRIGERATED,1,354,38.8
DRY CARGO,3,647,157.7
DRY CARGO,3,3048,186.6
DRY CARGO,3,2496,128.8
GENERAL CARGO,5,1939,237.7
DRY CARGO,3,2459,142.2
DRY CARGO,3,1333,93.3
DRY CARGO,3,1990,155.5
DRY CARGO,4,1387,167.7
DRY CAGO,5,2734,260
GENERAL CARGO,6,2489,270
GENERAL CARGO,1,1925,75.5
GENERAL CARGO,3,2376,88.8
GENERAL CARGO,5,1518,235.5
GENERAL CARGO,2,985,61.1
GENERAL CARGO,2,1253,131.1
GENERAL CARGO,2,1043,52.2
GENERAL CARGO,4,2302,256.6
GENERAL CARGO,3,1675,368.8
GENERAL CARGO,6,616,295.5
GROCERY ITEMS,18,14452,826.6
GENERAL CARGO,5,2442,243.3
DRY PRODUCTS,9,6347,445.5
DRY PRODUCTS,1,459,43.3
FROZEN MEAT,47,50000,3102
DRY GROCERY,1,296,37.7
GENERAL CARGO,2,2245,87.7
REFRIGERATED,11,11342,740
DRY CARGO,1,174,21.1
DRY GROCERY,7,6022,178.8
GROCERY ITEMS,3,21876,170
GROCERY ITEMS,7,15312,396.6
REFRIGERATED,2,3456,144.4
FROZEN PRODUCTS,4,3432,382.2
FROZEN,5,3407.5,398.8
Protein Bars,1,1430,14.4
REFRIGERATED,1,194,22.2
DRY PRODUCTS,1,43,11.1
REFRIGERATED,12,26349,807.7
DRY PRODUCTS,4,2389,284.4
REFRIGERATED Product,13,7984,781.1
DRY PRODUCTS,1,2347,60
GENERAL CARGO,6,4680,380
REFRIGERATED,19,22569,1346.6
DRY PRODUCTS,9,6060,595.5
GROCERY ITEMS,5,3807,451.1
FROZEN PRODUCTS,1,2230,50
REFRIGERATED Product,7,12219.6,451.1
FROZEN PRODUCTS,16,8833.8,694.4
GROCERY ITEMS,1,300,17.7
DRY GROCERY,3,6600,166.6
DRY GROCERY,22,38914,1536.6
Frozen Product,6,10599,333.3
DRY PRODUCTS,1,311,41.1
DRY PRODUCTS,2,625,108.8
DRY GROCERY,5,8265,300
GENERAL CARGO,1,665,52.2
DRY GROCERY,11,17432,427.7
Printing Ink,1,98,15.5
DRY PRODUCTS,1,1008,42.2
GENERAL CARGO,1,168,24.4
REFRIGERATED,20,18472,1295.5
DRY PRODUCTS,5,3800,296.6
DRY PRODUCTS,1,2085,373.3
DRY GROCERY,18,42120,1200
DRY PRODUCTS,7,11483,350
GROCERY STORE Merchanise,14,16875,435.5
REFRIGERATED,10,9487.2,324.4
DRY PRODUCTS,8,2352,407.7
woven,7,4116,418.2
REFRIGERATED,2,1401,82.2
FROZEN,1,939,71.1
FROZEN PRODUCTS,4,2308.9,178.8
GENERAL CARGO,1,748,83.3
FROZEN GOODS,1,492.2,30
GROCERY ITEMS,14,3951.7,420
GENERAL CARGO,2,1556,116.6
DRY PRODUCTS,25,40794,1217.7
REFRIGERATED,2,2036.8,72.2
DRY CARGO,18,12148,865.5
REFRIGERATED,22,35563.5,1002.2
Rest Equipment,4,7057,176.6
DRY CARGO,1,127,12.2
REFRIGERATED,4,6720,337.7
PARTY SUPPLIES,3,1836,198.8
DRY GROCERY,1,701,60
DRY PRODUCTS,13,2291.1,844.4
DRY PRODUCTS,2,672,193.7
GENERAL CARGO,1,314,34.4
GROCERY ITEMS,1,93,21.1
DRY PRODUCTS,12,7520,846.6
DRY PRODUCTS,1,111,14.4
REFRIGERATED,2,2690.4,93.3
GROCERY ITEMS,1,1355,44.4
Frozen Product,2,1138,111.1
GROCERY ITEMS,3,3740,221.1
DRY PRODUCTS,1,90,21.1
FROZEN PASTA,1,938,55.5
FROZEN PRODUCTS,4,4800,302.2
FROZEN PRODUCTS,1,745.7,50
Frozen Chicken,1,760.2,41.1
REFRIGERATED,1,462.8,23.3
REFRIGERATED,16,21108,958.8
REFRIGERATED,6,5150,232.2
REFRIGERATED,2,1071.3,70
REFRIGERATED,2,1422,88.8
REFRIGERATED,1,493,21.1
REFRIGERATED,7,10435.5,297.7
REFRIGERATED,23,17756.8,1025.5
REFRIGERATED Product,3,5316,206.6
REFRIGERATED,4,2772,196.6
REFRIGERATED,1,30.4,37.7
REFRIGERATED,2,1260,55.5
GENERAL CARGO,1,90,31.1
DRY PRODUCTS,8,9084,417.7
DRY PRODUCTS,1,323,106.6
REFRIGERATED,21,23308.4,1453.3
DRY PRODUCTS,2,1350,154.4
DRY GROCERY,7,5939,220
REFRIGERATED,12,13546,695.5
REFRIGERATED,2,1769,71.1
DRY GROCERY,2,3825,115.5
DRY GROCERY,5,9563,288.8
DRY GROCERY,13,7719,881.1
FROZEN,6,2728.3,235.5
REFRIGERATED,8,3349,238.8
Frozen Product,15,6690.1,781.1
DRY GROCERY,6,10969,392.2
DRY GROCERY,6,4469,326.6
DRY PRODUCTS,2,2860,142.2
DRY PRODUCTS,1,75,66.6
Fruit Concretrate,7,12104,383.3
Frozen Bread,8,3500,383.3
GENERAL CARGO,1,45,12.2
GENERAL CARGO,1,83,31.1
DRY PRODUCTS,11,7233,482.2
DRY CARGO,1,111.1,30
DRY CARGO,1,152,24.4
GENERAL CARGOi,1,34,10
REFRIGERATED product,10,19095,648.4
REFRIGERATED,8,15817,475.5
FROZEN PRODUCTS,1,971,60
DRY CARGO,19,5051,823.9
REFRIGERATED,1,1863,52.2
FROZEN PRODUCTS,13,23082,1084.4
DRY CAEGO,1,203,30
REFRIGERATED,17,22184,1003.3
CHARCOAL,2,1792,111.1
FROZEN PRODUCT,4,4374.75,275.5
DRY CARGO,23,39471,1670
REFRIGERATED Product,22,35379,1002.2
REFRIGERATED  CARGO,1,568,55.5
REFRIGERATED,4,1284,113.3
GENERAL CARGO,68,21551.8,2701.1
GENERAL CARGO,1,138,30
DRY GROCERY,13,14654,472.2
GENERAL CARGO,1,142,37
GENERAL CARGO,1,150,27.3
DRY GROCERY,5,2940,303.3
GENERAL CARGO,1,80,14.85
DRY PRODUCTS,1,434,38.8
DRY PRODUCTS,1,577,26.6
DRY CARGO,1,744,52.2
GENERAL CARGO,2,3443,175.5
GENERAL CARGO,2,2862,156.6
DRY PRODUCTS,2,342,90
GENERAL CARGO,12,6720,1146
GENERAL CARGO,7,4666,506.6
GROCERY ITEMS,4,8800,213.3
DRY CARGO,4,2230,361.1
REFRIGERATED Product,19,18216,1097.7
GENERAL CARGO,1,45,17.7
DRY GROCERY,1,171,16.6
FROZEN PRODUCTS,4,7601.4,217.7
REFRIGERATED,1,228,35.5
GENERAL CARGO,1,1212,33.3
GENERAL CARGO,5,2566,142.2
GENERAL CARGO,4,975,190
DRY CARGO,1,1017,54.4
GENERAL CARGO,6,1925,227.7
GENERAL CARGO,3,863,137.7
DRY CARGO,1,308,16.1
DRY CARGO,4,2172,161
GENERAL CARGO,4,2019,192.2
DRY GROCERY,4,1317,195.5
GENERAL CARGO,1,657,31.1
GENERAL CARGO,2,2005,37.7
GENERAL CARGO,4,1994,146.6
GENERAL CARGO,2,1965,86.6
DRY GROCERY,2,851,60
GENERAL CARGO,6,2645,164.4
GENERAL CARGO,5,1765,130
GENERAL CARGO,1,125,110
DRY PRODUCTS,3,2955,157.7
DRY PRODUCTS,6,4750,361.1
GROCERY ITEMS,1,795,55.5
REFRIGERATED Product,4,6667,290
FROZEN FOOD,1,1371,66.6
DRY CARGO,2,749,82.9
GENERAL CARGO,1,610,58.8
Printed Shrink Roll,10,9641.9,339.5
REFRIGERATED,1,1522,60
GENERAL CARGO,1,158,17.7
GROCERY ITEMS,1,103,13.3
Equipment,1,1310,138.1
GROCERY ITEMS,8,12059.4,471.7
DRY GROCERY,10,18150,737.7
GROCERY ITEMS,9,17213,520
DRY GROCERY,39,14191,1350
REFRIGERATED,18,23724,1028.8
DRY PRODUCTS,16,3743,700
DRY PRODUCTS,1,327,41.1
GENERAL CARGO,1,292,42.2
GROCERY ITEMS,7,8003,286.6
GENERAL CARGO,8,6922,406.6
REFRIGERATED,1,452.5,18.8
REFRIGERATED,1,458.7,23.3
REFRIGERATED,1,493,24.4
REFRIGERATED,2,6000,113.3
REFRIGERATED,8,8466,311.1
REFRIGERATED,2,1602,97.7
REFRIGERATED,6,4049.7,295.5
REFRIGERATED,22,18037.9,954.8
Dry Goods,2,680,91.6
DRY GROCERY,6,1366,301.1
DRY PRODUCTS,16,16443.24,582.2
GROCERY ITEMS,45,39731,2053.3
REFRIGERATED PRODUCT,3,3913.7,116.6
REFRIGERATED,4,4756,205.5
GENERAL CARGO,4,1997,343.3
DRY PRODUCTS,10,21876,533.3
DRY PRODUCTS,7,3849,407.7
GROCERY ITEMS,6,7712,276.6
Truffle Oil,1,143,22.2
DRY GROCERY,6,10456,363.3
REFRIGERATED,1,171,20
REFRIGERATED,3,3779,133
FROZEN PRODUCTS,1,1319.1,65.5
GENERAL CARGO,13,7325.9,1248.8
FROZNE PRODUCTS,2,1469.1,193.3
GENERAL CARGO,1,183,32.2
GROCERY ITEMS,4,5414,355.5
Frozen Product,7,3312,126.6
REFRIGERATED,13,16137,981.1
DRY PRODUCTS,2,11001,69.4
DRY PRODUCTS,1,99,17.4
GROCERY ITEMS,9,21163,500
DRY PRODUCTS,4,1856,208.8
DRY GROCERY,2,3762,102.2
DRY PRODUCTS,1,499,42.2
DRY PRODUCTS,6,3725,235.5
DRY GROCERY,20,37503.6,1076.6
FROZEN PRODUCTS,7,5935,658.8
GENERAL CARGO,1,1825,69.6
DRY GROCERY,1,825,63.3
GENERAL CARGO,1,120,33.3
DRY PRODUCTS,5,3190,215.5
FROZEN PRODUCTS,6,1822.7,226.6
GENERAL CARGO,8,3517,678.8
REFRIGERATED,10,1981.4,454.7
Dry Product,12,4062,825.5
GROCERY ITEMS,2,3600,160
REFRIGERATED Product,12,24768,755.5
GROCERY ITEMS,6,6438,100
GENERAL CARGO,1,384,58.8
DRY GROCERY,11,4983,523.3
GENERAL CARGO,3,909,230
GROCERY ITEMS,2,1730,168.8
DRY GROCERY,13,6390.7,723.3
DRY CARGO,1,60,35.5
FROZEN PRODUCTS,7,6630,344.4
REFRIGERATED,19,25010,1171.1
GROCERY ITEMS,2,148,48.8
GENERAL CARGO,1,50,38.8
GENERAL CARGO,4,5082,173.3
GENERAL CARGO,4,1560,225.5
GENERAL CARGO,16,12933,758.8
GENERAL CARGO,1,544,51.1
REFRIGERATED,19,21178.4,1316.6
GENERAL CARGO,1,496,38.8
GENERAL CARGO,1,1043,47.7
GENERAL CARGO,1,152,32.2
GENERAL CARGO,1,210,12.2
GENERAL CARGO,2,1640,77.7
GENERAL CARGO,2,2200,75.5
GENERAL CARGO,3,2285,241.1
GENERAL CARGO,4,3200,203.3
GENERAL CARGO,3,2827,117.7
GENERAL CARGO,2,438,114.4
Dry Product,1,40,12.2
REFRIGERATED Product,2,2079.5,72.2
DRY PRODUCTS,18,15128,898.8
REFRIGERATED,3,2781,106.6
DRY PRODUCTS,1,1380,166.6
REFRIGERATED,8,12290.5,472.2
FROZEN PRODUCTS,2,1251,294.4
DRY CARGO,9,10797,528.8
DRY GROCERY,4,6838,181.1
REFRIGERATED,2,2352,135.5
GROCERY ITEMS,3,6500,196.6
DRY GROCERY,7,1506,222.2
GROCERY ITEMS,4,4628,235.5
GERNERAL CARGO,1,453,68.8
GROCERY ITEMS,22,38541,1637.7
GROCERY ITEMS,52,34226,2592.2
GROCERY ITEMS,2,4400,106.6
REFRIGERATED PRODUCT,23,25005.1,1237.7
REFRIGERATED,2,920.2,32.6
GROCERY ITEMS,1,591,21.1
FROZEN PRODUCTS,1,1340,115.5
REFRIGERATED,4,7669.7,180
FROZEN PRODUCT,3,5150.3,170
REFRIGERATED Product,1,147.7,15.5
REFRIGERATED,4,5081.6,231.1
GROCERY ITEMS,5,2836,226.6
REFRIGERATED PRODUCT,1,1073,75.5
REFRIGERATED Product,2,3873,177.7
FROZEN PRODUCTS,48,20589,2204
GROCERY ITEMS,2,1650,144.4
DRY CARGO,4,4600,262.2
GENERAL CARGO,1,276,17.2
DRY PRODUCTS,9,8265,425.5
REFRIGERATED,1,1816,55.5
FROZEN PRODUCTS,4,5430,286.6
REFRIGERATED,1,2126,57.7
REFRIGERATED,1,1218,60
GENERAL CARGO,8,1600,351.1
DRY PRODUCTS,1,165,13.3
DRY PRODUCTS,14,17416,642.2
REFRIGERATED,8,9466.5,305.5
DISPOS BAG,1,275,22.2
GENERAL CARGO,7,3405,271.1
REFRIGERATED,2,2619,93.3
DRY PRODUCTS,1,2085,51.1
REFRIGERATED,5,3570.1,245.5
REFRIGERATED,40,33802.1,1945.5
DRY PRODUCTS,1,163,37.7
REFRIGERATED,19,23676.1,1048.8
GROCERY ITEMS,1,380,33.3
GENERAL CARGO,1,963,73.3
DRY PRODUCTS,8,7715,280
REFRIGERATED,2,2295,147.7
REFRIGERATED,3,998.4,88.8
REFRIGERATED,1,552.1,26.6
REFRIGERATED,1,172,13.3
REFRIGERATED,8,10795.7,302.2
REFRIGERATED,1,493,18.8
REFRIGERATED,6,4323.8,215.5
GROCERY ITEMS,23,39069,1638.8
GENERAL CARGO,1,590,63.3
DRY PRODUCTS,7,8440,414.4
GENERAL CARGO,34,10355.5,2933.3
DRY PRODUCTS,13,9988,672.2
DRY CARGO,1,463,55.5
GENERAL CARGO,9,5540,455.5
DRY CARGO,1,1070,68.8
DRY CARGO,1,84,15
GROCERY ITEMS,13,17992,463.3
REFRIGERATED,8,10967.3,551.1
GENERAL CARGO,1,604,88.8
FROZEN PRODUCTS,1,527,34.4
DRY PRODUCTS,1,79,14.4
REFRIGERATED,1,331,40
FROZEN PRODUCTS,1,595,55.5
GENERAL CARGO,1,143,17.7
GROCERY ITEMS,55,24035,2245.5
DRY PRODUCTS,1,49,11.1
GENERAL CARGO,1,144,45.5
GROCERY ITEMS,1,307,31.1
GENERAL CARGO,1,84,24.4
REFRIGERATED,10,18389.4,683.3
REFRIGERATED,12,24089.3,760
GROCERY ITEMS,11,21038,635.5
REFRIGERATED,17,22164,983.3
GENERAL CARGO,1,60,18.8
REFRIGERATED PRODUCT,3,2215,160
GENERAL CARGO,1,155,28.8
FROZEN PRODUCTS,1,1490,62.2
GENERAL CARGO,1,196,41.1
DRY CARGO,1,68,15.5
DRY GROCERY,2,1743,156.6
FROZEN PRODUCT,1,322,44.4
REFRIGERATED,1,1142,84.3
dry goods,17,37849,796.8
REFRIGERATED PRODUCT,3,5341,191.1
DRY PRODUCTS,5,9235,328.8
REFRIGERATED,18,18883.8,1027.7
GENERAL CARGO,29,16154,1364.4
DRY PRODUCTS,2,2112,164.4
FROZEN PRODUCTS,1,182,25.5
GROCERY ITEMS,6,10097,306.6
FROZEN PRODUCTS,3,1910,186.4
GROCERY ITEMS,2,3500,82
GENERAL CARGO,13,35834,312
Promo Items,1,89,26.6
GENERAL CARGO,3,2786,315.5
GROCERY ITEMS,4,8800,213.3
GENERAL CARGO,1,130,26.6
GROCERY ITEMS,62,23217,2691.1
REFRIGERATED,2,2860.9,95.5
REFRIGERATED,2,1932,115.5
REFRIGERATED,1,952,48.8
GENERAL CARGO,2,547,74.4
GENERAL CARGO,5,770,236.6
GENERAL CARGO,4,1774,214.4
GENERAL CARGO,33,13267,2411.1
GENERAL CARGO,2,1618,101.1
GENERAL CARGO,1,1060,44.4
GENERAL CARGO,3,1428,96.6
GENERAL CARGO,5,2046,225.55
GENERAL CARGO,2,795,87.7
GENERAL CARGO,1,840,34.4
GENERAL CARGO,2,1530,74.4
GENERAL CARGO,2,1934,86.6
GENERAL CARGO,2,1790,101.1
GENERAL CARGO,4,1631,144.4
GENERAL CARGO,3,1504,78.8
GENERAL CARGO,8,1559,322.2
GENERAL CARGO,5,2750,297.7
GENERAL CARGO,1,313,13.3
GENERAL CARGO,1,517,31.1
REFRIGERATED,2,2073,73.3
REFRIGERATED,16,21456.1,1023.3
GENERAL CARGO,1,131,24.4
REFRIGERATED,1,245,36.6
REFRIGERATED,1,458.7,23.3
REFRIGERATED PRODUCT,19,14045,790
REFRIGERATED,1,246.5,13.3
REFRIGERATED,1,1422,70
REFRIGERATED,5,4704,224.4
REFRIGERATED,8,6865.7,391.1
REFRIGERATED,4,4255,134.4
GROCERY ITEMS,1,148,18.8
GENERAL CARGO,1,18,13.3
GROCERY ITEMS,1,24,18.8
GROCEY STORE MECHANDISE,1,450,26.6
DRY CARGO,1,60,26.2
GROCERY ITEMS,6,7075,197.7
DRY PRODUCTS,10,21876,510
DRY CARGO,1,92,41.1
dry goods,1,404,44.4
GENERAL CARGO,6,8637.7,512.2
GROCERY ITEMS,7,11549,423.3
REFRIGERATED,12,19231,884.4
GENERAL CARGO,42,25694,1978.8
GROCERY ITEMS,6,5535,348.8
GENERAL CARGO,3,1283,58.8
GENERAL CARGO,3,3599,133.3
GENERAL CARGO,6,956,256.6
GENERAL CARGO,2,1365,67.7
GENERAL CARGO,14,13131,401.1
GENERAL CARGO,1,100,12.2
GENERAL CARGO,1,635,51.1
DRY PRODUCTS,10,8637.7,917.7
DRY CARGO,2,779.1,82.2
GROCERY ITEMS,18,41628,1232.2
FROZEN PRODUCTS,1,46,20
GROCERY ITEMS,2,1520,115.5
GROCERY ITEMS,3,2255,172.2
GROCERY ITEMS,1,2115,70
GROCERY STORE merchanidse,6,2250,538.8
GENERAL CARGO,1,363,54.4
REFRIGERATED,2,3856,158.8
GENERAL CARGO,2,870,118.8
REFRIGERATED,1,1795,53.3
REFRIGERATED,22,35771.1,1002.2
Frozen product,8,10565,603.3
GENERAL CARGO,12,4462.1,748.8
GENERAL CARGO,3,855,164.4
FROZEN PRODUCTS,4,1668,305.5
FROZEN MEAT,1,1295,74.4
GENERAL CARGO,2,2077,74.4
GENERAL CARGO,6,3902.1,470
FROZEN PRODUCTS,2,2446.9,94.4
FROZEN PRODUCTS,1,734.5,98.8
REFRIGERATED,7,12770.3,472.2
GENERAL CARGO,10,8504,594.5
FROZEN OCTOPUS,1,381,32.2
GROCERY ITEMS,21,45845.5,1227.7
DRY PRODUCTS,3,5092,201.1
GROCERY ITEMS,19,15277.8,925.5
FROZEN PRODUCTS,2,1253.4,145.5
GROCERY ITEMS,2,2960,145.5
REFRIGERATED,17,22609,1010
REFRIGERATED,10,8009,653.3
REFRIGERATED,8,18689.2,564.4
REFRIGERATED,2,3465.2,83.3
FROZEN PRODUCTS,2,7054,140
REFRIGERATED,18,19731.6,1214.4
GENERAL CARGO,1,370,182.2
REFRIGERATED,14,10730.9,771.1
REFRIGERATED,6,2388.8,204.4
REFRIGERATED,1,452.5,27.7
REFRIGERATED,51,43930,2326.6
REFRIGERATED,1,604,53.3
GRTOCERY STORE NERCHANDISE,1,776,64.4
GENERAL CARGO,1,57,20
GROCERY ITEMS,7,5187,395.5
FROZEN PRODUCTS,1,451.7,55.5
DRY PRODUCTS,2,1896,133.3
DRY PRODUCTS,6,460,134.4
DRY PRODUCTS,1,317,123.3
DRY CARGO,1,64,26.9
REFRIGER3ATED PRODUCTS,17,13924.4,908.8
REFRIGERATED GOOD,3,3123,111.1
GENERAL CARGO,5,2987.5,353.3
GROCERY ITEMS,2,2030,64.4
GROCERY ITEMS,35,30586.7,1720
GROCERY STORE merchanidse,15,12013.9,513.3
GROCERY ITEMS,1,190,11.1
GROCERY ITEMS,1,1138,55.5
GROCERY ITEMS,1,1104.2,60
GROCERY ITEMS,2,2388,103.3
FROZEN PRODUCTS,5,4408.2,477.7
REFRIGERATED,2,3360,171.1
grpcery store merchandise,11,6581,560
GROCERY ITEMS,6,11475,353.3
REFRIGERATED,9,12333.96,385.5
GENERAL CARGO,25,11332,1787.9
REFRIGERATED,2,3242.8,106.6
REFRIGERATED,21,27016.6,1368.8
GENERAL CARGO,1,339,67.2
FROZEN PRODUCTS,4,7255.5,244.4
REFRIGERATED,2,1932,117.7
GROCERY ITEMS,6,5298,465.5
GENERAL CARGO,1,292,46.6
DRY PRODUCTS,30,14368.6,2391.1
GENERAL CARGO,29,13098.67,2135.5
GROCERY ITEMS,22,39015,1613.3
REFRIGERATED,1,493,26.6
REFRIGERATED,1,295.2,23.3
